Query Description,ProblemStatement,Closure Comment,InternalRCA
Initiation Agent services are not starting,"Initiation agent services are not starting. Logs not getting generated in nglogs. Initiation service folders also not generating in nglogs/Cabinet/WF-Services  and nglogs/Omniflowconfiguration/Cabinet/Wf-Service locations.

Refer attached screenshots and logs.","As discussed, there is some environment issue, initiation agent were not starting and through tester also, it is not picking the dll. After re-dploying initiationagent.jar, initiation agent is started","As discussed, there is some environment issue, initiation agent were not starting and through tester also, it is not picking the dll. After re-dploying initiationagent.jar, initiation agent is started"
Link not showing in report.,"In BAM report unable to add link on horizontally value calculated in Total columns. Refer attached screenshots unable to add link for highlighted columns in yellow color.
iBPS version: iBPS4.0SP1","this is not a product issue. BAM doesn't provide the feature to get the link on total.
This can be achieved only using Custome coding",NA
Document Rule Not working as required,"Document rules defined is not working as per required. Upon analysis, it is observed that ReloadInterfaces() is not functioning for iBPS 4.0 SP1. Please find the attached screenshot.",As discussed over teams pls raise cqrn once able to showcase the issue.,NA
Unable to add user in Queue Management,"Hi Team, We have migrated to IBPS5(SP3). While trying to add user in queue mangement
it is showing ""The requested filter is invalid"" as shown in screenshot. 
Also, when we try to remove filter from a queue, it is showing ""The requested filter is invalid"", as shown in the screenshot.",The issue was coming while editing the queue property due to constraint violation of requestid in wftransportdatatable. we have executed one sequence on the tmslogid column to increment its value,The issue was coming while editing the queue property due to constraint violation of requestid in wftransportdatatable. we have executed one sequence on the tmslogid column to increment its va
User logged out when switch view,,"As discussed over teams , Issue is not replicating now. I am closing the ticket for now pls raise a separate ticket when the issue is replicating and take the production access and connect with me.",
need space in grid value.,Not able to increase column width,Please deploy hotfix IBPS5.2.1_150 for column width issue,NA
In template design we are not able to set header .,,Client resolved the issue at their own.,
Not able to route applications with adhoc routing,"We are getting invalid workitem id error while trying to adhoc routing the applications to decline workstep, screenshot attached.",Kindly discuss your usecase with product AR team and if you want to adhoc child workitem you can enable AllowAdhocRouteForChild flag to Y from omniflowconfiguration\wfsconfig\wfappconfigparam.xml.,Kindly discuss your usecase with product AR team and if you want to adhoc child workitem you can enable AllowAdhocRouteForChild flag to Y from omniflowconfiguration\wfsconfig\wfappconfigparam.xml.
Need Product Security & Other report.,"Please share iBPS product report on scalability, reliability, performance, security, accessibility, and maintainability.",Report has been shared over mail. In case of any concern pls connect.,Please refer the attached report. In case of any concern pls connect.
Advanced search is not working for french locale,,Issue resolved after updating advancesearch.xhtml,
"We generate fresh cabinet, but unable to add volum","We generate fresh cabinet, but unable to add volum","As discussed and demonstrated, the OD 11 Patch2 is not deployed correctly, due to which the current is occurring.
I have shown you the difference between one of the deployed files, and its corresponding OD11 Patch 2 file.  

Hence, request you apply the OD11 Patch2 correctly by following all the steps given in the deployment manual.  You may also use the PMS installer for automatic deployment of the same.",StackOverflow
Initiation agent giving error as invalid user id,Initiation agent giving error as invalid user id,"As discussed, there was configurations issue gap from client end. After correcting it, issue is resolved.","As discussed, there was configurations issue gap from client end. After correcting it, issue is resolved."
Unable to generate Application Server Report,We are facing issue while generating application server report through Health Monitoring Tool. Please find the screenshot and error log for your reference.,App server Report is not feasible in case of Clustered Environment.,
Enabling HMT GUI on Linux,"Please provide the pre-requisite document for enabling Health Monitoring Tool GUI on below environment details.
OS: Linux
Application Server: Weblogic 14
Database: Oracle 19c
Product: Omnidocs 11 SP0 patch 2  and IBPS SP2 Patch1",Please find the prerequisite and installation manual shared over mail.,
Document Tab Not fixed.,,"For the reported issue pls perform the below steps and check:

 returning false in below function of client.js location(webdesktop.war/resources/scripts/)
function DisplayFixedWDeskLayout(pid, wid, taskid, stractivityid, strprocessname, stractivityname){
// return true to display fixed layout of equal ratio
// return false to display the Layout configured in Workstep Properties from process Designer
return false;
}

Set Edit layout height from process designer on the required workstep.(PFA screenshot)
Restart the Application server and clear wdtemp and browser cache.",
Process mgmt view rights for all the users,,New users are not getting default accesses. Accesses are working as expected.,
Slowness in Iforms Loading,"When we try to open an Iforms of one particular process, it will take around 10 seconds to 12 seconds before loading the forms.","As checked formload data is around 1 MB due to which form is taking time to load, I have shared document for IForm slowness, please follow the same to minimize data on formload.",
Session not invalidated after refreshing browser.,"After logging into the application, clicking on refresh button session does not invalidate. Please find the attached document and provide the suggestion.",As checked over teams on refreshing the browser Omniapp session is getting invalidated as expected.,As checked over teams on refreshing the browser Omniapp session is getting invalidated as expected.
ICICI Application Performance Issues,,"As per product team , issue is not fixed in the current version need to upgrade.",
Issue in configuration change in web.xml,"We have generated the HMT report over the UAT and tried to configure the recommended changes over the SIT, however we are trying to change configuration of javax.faces.PROJECT_STAGE to Production from Development in web.xml then error is showing while open the workItems, screenshot attached.","As checked over Ms Teams , post providing the updated class file uuidfilter.class file (Path: WEB-INF\classes\com\newgen\iforms\servlet\filter\) , the issue is resolved.","There was a check in uuidfilter.class file( version before ibps 4 sp1 patch 1) , related to Changing javax.faces.PROJECT_STAGE to Production in web.xml of iforms , In latest we have already removed the check that (if changing this tag to production than redirects to error page) , so provided the updated file to client. BUG-97262"
Unable to edit VP_Alloccategory in MDM,"Hi Team, After providing the required object rights also, the user is not able to edit the specific master table in the IBPS applicaton. Please help to fix the issue ASAP. 
Table name - VP_Alloccategory","The issue was not for the rights, The column named where made as Non-Modifiable in the schema.",NA
Rights Management not loading in Business Admin,403 in rights management.,Whitelisting issue. Resolved after fixing the regex,Whitelisting framework
Values are not saving in grid for 2nd row,We have a subform and trying to save the data but it is saving only for 1 row and the data is unable to save in the database for the rest of the rows.,Issue is due to custom code. Please check at your end.,Issue is due to custom code.
Last login timestamp not displayed.,"After Login to the application, not displaying last login time.",Kindly make or update the parameter ShowFailedLoginMsg=Y in oaconfig.ini present at location(ApplicationServerHome\bin\omniflowconfiguration\oawebconfig ) and take the restart of the Application Server and check.,Kindly make or update the parameter ShowFailedLoginMsg=Y in oaconfig.ini present at location(ApplicationServerHome\bin\omniflowconfiguration\oawebconfig ) and take the restart of the Application Server and check.
I am not able to set the dimensions of the image,Not able to modify height and width of image in process designer,Please deploy hotfix IBPS5.3.0_009,Bug 123286/CQRN-0000244944 - Unable to modify no of rows property in textArea control properties in iform designer
Unable to send mail through mail server using SMTP,"I have registered a mailing agent with security as TLSV1.2 and provided all the configurations. Still it is giving me an error that says Error in connecting with mail server using SMTP'. I am able to send mail through the tester provided earlier. I checked in product logs and found:-
1) 'java.net.UnknownHostException: relay.emailgov.in'. 
2)java.lang.IllegalStateException: Not connected.

I have attached the logs for the same. Please help resolve the issue.

OMNIAPP VERSION:- iBPS_5.0_SP2_01_000",Client resolved at own.,Client resolved at own.
Insufficient session expiration.,"Session does not expire after 15 minutes of in activity.
Please find the attached screenshot and provide the suggestion.",As discussed over teams please configure the session time at web Server end.,NA
Open Transaction in application not working,Open Transaction in application not working. Error: AutomationParameters are not defined,Duplicate code fix provided in eventConfig.xhtml,Fixed for CQRN-0000171075-Open Transaction command event defect
When login to Ofservices Server went down,"Immediately after attempting to log in to ofservices, the server stop responding.",Reporter resolved at their own.,Reporter resolved at their own.
DCT Vulnerability Analysis,Please find the attached excel for the two omniapp open vulnerability points.,Please enable whitlisting in omniapp and webdesktop war for Server Error Message and please do configuration at web server end for Cross-Site Scripting Protection. Justification report shared over teams.,
Emaildownload tester giving error,"Emaildownload tester giving error, We have provided source folder as inbox although it's getting folder id as null.","As discussed, there is no issue in the email download tester as tester supports to process only top 10 mail folders. So, Kindly verify with the other mail folders of mailbox that are coming in top 10.","As discussed, there is no issue in the email download tester as tester supports to process only top 10 mail folders. So, Kindly verify with the other mail folders of mailbox that are coming in top 10."
HMT set up required,"Kindly share the set up of Health Monitoring Tool.
Environment Details: Jboss EAP 7.0 ,JDK 8,OmniDocs 9.1 SP2,iBPS 3.0 SP2",Please find the HMT setup shared over teams.,
control set issue,"Application Server : JBOSS EAP 7.2
Database : PostgreSQL 10.4
IBPS Version : IBPS 5 SP3

CONTROL SET are not working as expected . We have checked the child control set and after doing the changes in control set and saving the changes. then after returning back to control set both parent and child control set are checked which should not be checked moreover changes are not reflected in front end.",Please uncheck and then check control sets to update tree structure of control sets.,NA
process name is blank on advance search,,Issue resolved after updating the files wdsearchworkitem.class and advancesearch.xhtml,
Document View issue,,No response from the client. Pls raise a separate tciket when you are avaialable,
i am getting error on prod environment,I am getting error on prod environment which impact slowness looks like this control not part of GUI.,Tried to reach on mail and teams but did not get response. Please register new ticket if need to showcase the issue.,NA
SubForm is continuously loading,"When we try to open subform,it is continuously loading","As checked the issue was due to Enablemasonary and hijripicker not defined in subformviewer.jsp .
Post deploying the updated file the issue is resolved.",SVN id - 226499
After installing DM1.1 not able to run artifactory,installtion issue,Error throw at time of installation so Some jar files are missing in artifactory folder  .Asked to install it again. Now working fine,installation issue
when file save as .xlsx formate getting .xls,when client try to download by selecting any queue name from queue managment and save as xlsx formate but file is getting download in xls formate from front end omniapp,Please register the reported query as lower Environment as the same is same is applicable for lower Environment also by attaching version.xml of webdesktop.war/,NA
iForm Table Control Column width height issue,In table control we have defined the width for each column still it is not considering it. Every column is getting splitted with fix width.,Please deploy iBPS_5.0_SP2_01_031.,"iBPS_5.0_SP2_01_031 is deployed for bam requirement, column width issue is fixed in this patch."
mapping complex variable,,"Incase of Array of Complex variable , you need to create the grid for template generation.",
During login all fields showing blank.,"After logging in to Omniapp, multiple tabs not getting displayed.","After applying HotFix_iBPS_4.0_113_OmniApp to iBPS_4.0_SP0_02_003, issue got resolved.","After applying HotFix_iBPS_4.0_113_OmniApp to iBPS_4.0_SP0_02_003, issue got resolved."
Incorrect form is loading in mobiile,"In mobile, desktop form is opening",Please deploy hotfix IBPS5.3.0_007,NA
Invalid parameters error while upgrading cabinet,"User unable to perform iBPS upgrade from ofservices. Error generated ""Invalid parameters""","As checked, CabUpgradePath tag was not defined in WFAppConfigParam.xml. Upon providing filepath, upgrade is running.","As checked, CabUpgradePath tag was not defined in WFAppConfigParam.xml. Upon providing filepath, upgrade is running."
Workflow Database Upgrade,,iBPS5.0 supports Oracle 19c. As such you can upgrade from Oracle 12c to Oracle 19c.,
Workitem Blank when opened,"When we open a specific Workitem, it is completely blank white. We tried to clear cache and check all js files and jars but still it was not resolved. We have also checked log files and found some errors, but still not able to trace it as it requires product side help. Please resolve this issue as soon as possible as this is a highly valuable claim.","As checked error was coming because special character was appended in document type and was resolved after removing it from the database.
The special character is handled in our upgraded version kindly plan an Upgrade.","As checked error was coming because special character was appended in document type and was resolved after removing it from the database.
The special character is handled in our upgraded version kindly plan an Upgrade."
Not able to reload the form,Not able to reload the form,Issue resolved by client at own,NA
Can we add each fields in tabular format.,"Want to design the form in tabular format. i.e. traditionally, text fields come right side of labels, need them below the text label.",use empty cell and empty row to achieve the functionality to design your form in tabular format,use empty cell and empty row to achieve the functionality to design your form in tabular format.
Increase the batch size in downloaded report .,,"go to crwebconfig/crconfig.ini and then set the maxsaverecordlimit as N or increase the value of maxsaverecordCount , and then re deploy the bam binaries",
No data visible in downloaded csv file of report.,"No data is visible in downloaded csv file of report. it shows error ' # ini to specify if the delimiter needs to be used in CSV reports Description: ' whereas data is present in downloaded xlsx, pdf file.",Change in crconfig.ini,NA
RTF bullet and numbering properties is not coming,"RTF bullet and numbering properties is not coming on SIT, UAT, PROD.",For now in product there is no support of bulletin in rich text editor. Already same query was raised in CQRN-0000243515,NA
Require evidences for attached security checklist,,"As discussed over teams, Pls change the message in omnierror.properties file for omniapp login threshold change. 
For other vulnerabilities , Please do the setting at application server end by taking help from Application server / Web Server support team.",
Not able to open and create a workitem,,Incorrect configuration and war access issue with the domain,
Document Upload Hook API,,Kindly use the docnamearr to find array of docnames..,
Letter generation functionality issue,,"Document rights was missing , after provides the rights on doc type for particular workstep. It is working fine now.",
Application stopped responding.,"Application stopped responding all of a sudden. After analysing the logs, we found  ""Unable to get managed connection for java:/edbcab"" in the ofserver log.",Seems there are some connection leak due to which issue is coming .Kindly increase the connection pool according to your requirement and  if its done also implement the Separate datasouce  fix .Required document already shared.,Seems there are some connection leak due to which issue is coming .Kindly increase the connection pool according to your requirement and  if its done also implement the Separate datasouce  fix .Required document already shared.
Qvaraiable data not Updated in Product table,,"As discussed, kindly enable the logging of that variable and check at which activity data was modified","As discussed, kindly enable the logging of that variable and check at which activity data was modified"
Backend API execution on Entry setting in queue,Our requirement is we need to call backend API when workitem enters in the queue. Please share if there is any functionality available within ibps with which we can achieve this.,"You can write your custom utilities to achieve this and for this you can take reference from Sample program  at below location ""https://ftp.newgen.co.in/~OmniRules/iBPSCommon/Server&Services/CustomCode/NGEJBCallBroker_TEST_PROGRAM/"".","You can write your custom utilities to achieve this and for this you can take reference from Sample program  at below location ""https://ftp.newgen.co.in/~OmniRules/iBPSCommon/Server&Services/CustomCode/NGEJBCallBroker_TEST_PROGRAM/""."
Not able to send screenshot in email,"When we are trying to send the email using WFADDTOMAILQUEUE ,the mail got send but with it is with img src  this is showing rather than the  image.can you please help us.","As discussed, there was an issue in calling the WFAddToMailQueue Api from custom code, the content type was not set due to which while processing the mail, mailing agent found content type as null in WFMAilQueueTable and created the mailbody as plaintext by default. So, Kindly set the content type while calling api.","As discussed, there was an issue in calling the WFAddToMailQueue Api from custom code, the content type was not set due to which while processing the mail, mailing agent found content type as null in WFMAilQueueTable and created the mailbody as plaintext by default. So, Kindly set the content type while calling api."
Unable to open Portal using URL.,Unable to open Portal using URL.,"As discussed, please configure defaultform in appconf.ini which needs to open while opening portal application in browser.",
Accessibility and Burp suite Scan observations,"When internal CR's has been release for SIT , team has came up with few observations with respect to  Accessibility and Burp Suite Scan testing.
We require your help in addressing these observations shared.
Details will be shared over mail",As discussed with Archana over teams sorting cannot be enabled for above varSTR8 due to performance issue.,NA
Data not reflecting in Form,"After opening the workitem, the data is reflecting but after refresh/reloading or reopening the workitem the data does not shows on the form.
This happens for specific process.","Client unable to showcase the issue on production. Also, if the issue can be generated on the UAT. please raise the CQRN request on UAT with proper analysis. Closing this ticket for now. Raise a new one with analysis on UAT",
Not able to upload the document.,,"As checked it was browser specific issue. chrome browser was not updated. After updating the browser now, we are able to upload the documents in IBPS. 

These are L1 issues and need to be handled/resolved at your end. Pls raise helpdesk tickets in case of bugs/requirement.",
Need to add complx table rights in the arg list.,"in generate response feature , we are using external table value by giving rights in the arugment list. As per our customer requirments we need to have complex table values in our templates.
L1 analysis:
We are verifed the arugment list,we don't have any option for giving rights to queue variable and complex table.
Please confirm whether we can use complex table value in the generate response template. If not give some work around to achieve this.",The team already had the document so conveyed the knowledge how to use complex variable in a template.,The team already had the document so conveyed the knowledge how to use complex variable in a template.
consolidated hotfix/patch for ibpsSP2.,,"Please find below the ftp link for iBPS5.0SP2 patch1 (	iBPS_5.0_SP2_01_000.zip):
https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP2/Patches%20&%20Hotfixes/iBPS_5.0_SP2_01_000/",
Default Table for application not present in MDM.,While creating application Default Table for application is not appearing in maker checker of MDM. Table also not present in database.,While creating application Default Table for application is appearing in maker checker of MDM(Inside new table section inside).,While creating application Default Table for application is appearing in maker checker of MDM(Inside new table section inside).
DMSAdaptor Dataclass not getting associated in doc,We are using DMS adaptor in IBPS 5.0 SP3. Archival utility is running without error. Though dataclass is getting associated in DMSFolder rather than document. Also 0 kb audit trail document is getting generated and data is not getting pushed in SAP.,"As discussed, the below are points:
1. The Aduit trail created of 0 kb : for this, the workitem should be on  exit workstep and AuditTrail service should be registered on ofservices.
2. If Audit Trail is not required, Kindly uncheck in from document type in DMS Adapter workstep configurations.
3. For pushing the data in SAP, SAP Invoker functionality needs to be registered.","As discussed, the below are points:
1. The Aduit trail created of 0 kb : for this, the workitem should be on  exit workstep and AuditTrail service should be registered on ofservices.
2. If Audit Trail is not required, Kindly uncheck in from document type in DMS Adapter workstep configurations.
3. For pushing the data in SAP, SAP Invoker functionality needs to be registered."
Maailing agent not working,This is regarding QCB POC demo (IBPS 5.0 SP3) where mailing agent is not working. Gmail has been used in configuration.It is working using tester but not through mailing agent. PFA screenshot and logs,"As checked, on environment wrong wfmailingagent.jar was deployed. The ibps version installed was ibps5sp2 CBL15 and jar deployed is of ibps5 SP1 patch2 due to which it is causing the issue. It seems someone has deployed the wrong jar. So, the jar of the ibps version has been shared with reporter through MS teams and deployed on server and checked after restarting the server, issue is resolved now.","As checked, on environment wrong wfmailingagent.jar was deployed. The ibps version installed was ibps5sp2 CBL15 and jar deployed is of ibps5 SP1 patch2 due to which it is causing the issue. It seems someone has deployed the wrong jar. So, the jar of the ibps version has been shared with reporter through MS teams and deployed on server and checked after restarting the server, issue is resolved now."
Not able to update OpAll.war  over weblogic,,"After re-deploying OpAll.war , client mentioned , issue was resolved . Received confirmation to close the ticket.",
Not able to search in grid on date basis,"In our listview in form while searching if workitem is saved explicitly, then data doesnot vanishes but if its not saved, data disappears.",Please deploy IBPS5.3.0_008.,Custom Loggers optimization
Advanced Search not available for French,On deleting the pin query it is giving the error,"Code level changes has been provided with the reporter.Please deploy the provided changes and take server restart.
it is already fixed in higher version. Upgrade to ibps5sp2_01",Code level changes has been provided with the reporter.Please deploy the provided changes and take server restart.
DCT Scan Analysis.,ross Site Scripting has been reported in DCT scan after putting the fix provided.,"As discussed, please change regex for additionalparams to NO_XSS_REGEX.",
Whole tab getting disabled,Whole tab is getting disable while trying to disable the specific sheet using setTabStyleByName()  - In iBPS 5 SP2 -P1,Code changes done in file iformview.js,NA
Exception on NGEJBCallBroker call,"In Ibps 5 sp 3,NGEJBCallBroker throwing ""javax.naming.ConfigurationException: WFNAM00003: Invalid naming provider URI""
as per document we configured jar from wrapper_lib folder, made required changes.
Kindly check and provide fix.",Sample test program has been shared with the reporter and its working kindly take reference from sample program.,Sample test program has been shared with the reporter and its working kindly take reference from sample program.
Getting error The requested operation failed.,"Unable to open workitem. Error being displayed ""The requested operation failed"".","As checked from logs, column name 'ANNUALLIVINGDISBURSED' is missing from a table.","As checked from logs, column name 'ANNUALLIVINGDISBURSED' is missing from a table."
How to use User Role in IBPS for queue management,,"The document related to user roles has been shared to you over MS Teams, please refer the same.",
Iform is getting failed,"We have restarted JBoss after deploying the BRMS and  Iform war file is getting failed due to which we are unable to access Iform in the process designer  

Please find annexed Screenshot and logs files",Client has deployed iform.jar file instead of war file. After removing the jar file from standalone folder and deploying the iform.war file resolved the issue,
Enable the full work item number to show in full,Enable the full work item number to show in full at the time of opening a WI and in the queue .,Kindly make/update the parameter URNEnabled=N in webdesktop.ini present at location(\bin\omniflowconfiguration\webdesktopconf) and take the restart of the application Server and check.,Kindly make/update the parameter URNEnabled=N in webdesktop.ini present at location(\bin\omniflowconfiguration\webdesktopconf) and take the restart of the application Server and check.
Open Office failing repeatedly,,Duplicate of CQRN-0000250192,
Not able to modify table columns from designer,"While modifying the column,getting,Checked out process tables cannot be modified","After adding the column insertionorderid as NUMBER(38,0) and remapping queue variables, Long column is working fine in the form.","After adding the column insertionorderid as NUMBER(38,0) and remapping queue variables, Long column is working fine in the form."
Unable open form.,"We have upgraded IBPS sp2 01 patch and installed patch 15 on UAT server. when we are trying to open form in business admin showing error as ""The requested operation failed."" please help us to resolve these issues on priority.","While opening workitem getting, The requested operation failed because upgrade was not complete because of 1 error in userpreferencetable for which another query is already registered, on completing upgrade script, workitem is opening.  separate query on helpdesk for iForms for form related issue.","While opening workitem getting, The requested operation failed because upgrade was not complete because of 1 error in userpreferencetable for which another query is already registered, on completing upgrade script, workitem is opening.  separate query on helpdesk for iForms for form related issue."
Error in Downloading Report,,ticket wrongly assigned to PCL team,
Open Office failing repeateadly,Open office services continuously failing or suddenly dies,Please deploy the fix(WDGC.class) and check.,Code fix/Duplicate
Multiselect Is not loading.,Multiselect is not getting loaded on opening workitem.,Issue resolved by client at own.,NA
UNABLE TO DEPLOY PROCESS IN IBPS,"Unable to deploy process. Error being displayed 'The INSERT statement conflicted with the CHECK constraint ""CK__EXTMETHOD__Unbou__27CF9CBD"". The conflict occurred in database ""IBPS_SUD"", table ""dbo.EXTMETHODPARAMDEFTABLE"", column 'Unbounded' '","While export and import of Cabinet to UAT, check constraints were duplicated. Upon dropping redundant constraints, able to deploy process.","While export and import of Cabinet to UAT, check constraints were duplicated. Upon dropping redundant constraints, able to deploy process."
Need Product support for DB Migration Activity,We have our DB Migration Activity Planned On 25th Feb 2022 (7:30-10:30 AM IST) in which we are migrating DB from 2016 to 2019 in Compatibility mode of 2016 . So We will be needing Product Support for this Duration on Upcoming Saturday.,As discussed kindly mail regarding this .,As discussed kindly mail regarding this .
Runtime Picklist is not working for English Rule,"We have crrated an English Rule with the Runtime Picklist . The rule is not getting executed ie. The values are not getting fetched from DB . As per our analysis,  in DRL file's WHERE caluse parameter of  picklist query, the the picklist  parameter is not replaced.","code fix is provided and hotfix ""IBPS_5.0_SP2_01_026"" will be provided in upcoming weeks.","code fix is provided and hotfix ""IBPS_5.0_SP2_01_026"" will be provided in upcoming weeks."
"multiple rows adding on save, mapped with view","Data is populated in a table using view. On saving the data gets saved in the transaction table. If then, any data is changed, a new row gets added in transaction instead of updating the previous added.",Latest hotfix IBPS5.3.0_006,NA
Can not call method from customValidation,,"The line of code to be used has been discussed over MS Teams, please use the same to call the function.",
Data not saving in the Listview tables.,For the Listview we have created one child and parent table in MDM for Portal. But in child table the data is not saving.,Provided the hotfix: iBPS_5.0_SP2_01_029,NA
Not able to preview the form,not able to preview the form in ibps,As checked issue was due to exporting and importing of form done in different version(hotfix) of ibps. Please do import/export of form on same hotfix.,NA
Icons are not coming in BAM Report.,"Icons(like download, save) are not coming in BAM Report.
Attaching screenshot for your reference.",provided hotfix IBPS_5.0_SP2_01_024,NA
Download option is not visible for templates,,"As discussed over teams, document download is not feasible no exit workstep.",
OMNI QUERY - User Group Access Removal is not working in PROD,"Can remove/delete user group access in omni UAT, but not able to delete in omni PROD.",No L1 analysis were attached .Kindly reopen a new ticket whenever you will be available and share version of omnidocs and omniapp also share L1 analysis. Kindly confirm the UAT and prod are in sync and also doing same use case.,Discarded
REQUESTING HMT RELEASE DOCUMENTATION.,,Please find the HMT manual shared over mail.,
No Authorization while creating BAM reports,"We observed that while creating new reports, when we entered the name with a bracket ""()"" the page error occurred saying ''You don't have authorization to view this page"". Screenshot and log attached for  reference. Kindly guide us.","provided user a solution, suggesting the user to deploy the latest hotfix iBPS5SP2_01_024","AS checked, issue with regex"
Wanted comma separated values in line chart.,,"As discussed with team, as of now currently we are not taking up this and 
 we will put this in our roadmap.",
Vulnerability in DFCU Project,,"1)SQL injection- Update IBPS version to 4sp1 patch4.
2)TLS cookie without secure flag set- Do this setting on application Server end.
3)TLS certificate-Do this setting on application Server end.
4. Vulnerable JavaScript dependency- Update IBPS version to 4sp1 patch4.
5. Cross-site request forgery- (Require Whitelisting framework, which is not present in 4sp0)Update IBPS version to 4sp1 patch4.",
Save Search in advance search cannot be deleted,Save Search in advance search cannot be deleted,"Please register CQRN with complete description by attaching below logs as Lower prod deployment Environment.
xml.log and error.log of nglogs/cabinet/wcl_web",NA
Product logs are not getting generated in POC.,What should be the configuration and jar which should be deployed for SP3 in case of log4j and jboss?,"For SP3 the quick analysis which should be checked in case of log4j are:  

a) log4j-api-2.19.1/log4j-api-2.17.1, log4j-core-2.19.1/log4j-api-2.17.1, nglog4j, nglogger, should be in Modules and entry should be made in module.xml for the same.

b) nglogger should be of 24kb.
c) nglogconfig and nglogs folder should be inside the Newgen (jboss, bin )
d) nglogconfig should have log4j1x.xml, log4j2X.xml maskmaking.xml and nglogconfig.ini.
Note:
nglogconfig decides which logger to be used.
1) for log4j1x , logger =1
2) for log4j2x , logger =2.",As checked deployed nglogger was not compatible to SP3 and nglogconfig file was manually created parallel to bin.
Auto Download of document to stop on opening WI,"If any excel or CSV is uploaded to WI, on opening the WI the first document is auto downloaded every time.
How we can stop this auto download functionality.","Please remove the entry of csv from below file and take the restart of the Application Server and check.

mime.conf folder  location ApplicationServerHome/bin/Omniflowconfiguration/webdesktopconf/","Please remove the entry of csv from below file and take the restart of the Application Server and check.

mime.conf folder  location ApplicationServerHome/bin/Omniflowconfiguration/webdesktopconf/"
Vulnerability in Production,,"1)SQL injection- Update IBPS version to 4sp1 patch4.
2)TLS cookie without secure flag set- Do this setting on application Server end.
3)TLS certificate-Do this setting on application Server end.
4. Vulnerable JavaScript dependency- Update IBPS version to 4sp1 patch4.
5. Cross-site request forgery- (Require Whitelisting framework, which is not present in 4sp0)Update IBPS version to 4sp1 patch4.",
Unable to Submit the WI,"On submitting the Workitem, it is not moving to other workstep for a particular decsion. Attached error logs points that there is an issue with post hook.",Issue resolved by guiding the client regarding the posthook.,
Need to change the currency format in IBPS Form,,"setCustomMasking(""textbox6"",""3"","","",""."",""$ "",""p"",""2"");

Kindly use the above  api to achieve your use case, you can paste the above code in iformclient.js and remove the ""textbox6"" and give the ID of your field and check.",
Getting errors in wrapper,,Issue is resolved as Wrapper was not getting the path of ngdbini,
Issue in no of trials in case workstep,In wfmailqueuetable no of trials for a normal workstep transaction is 0. But while a mail is triggere for case workstep like initiating a task the no of trials is coming as 3. Please check on this issue.,"As discussed, in case of mail trigger through task functionality, initiation noOfTrials was set to 3 which was not making any impact on product functionality but as per our rule to give initial noOfTials to 0, the changes has been provided in the same hotfix and updated on FTP","As discussed, in case of mail trigger through task functionality, initiation noOfTrials was set to 3 which was not making any impact on product functionality but as per our rule to give initial noOfTials to 0, the changes has been provided in the same hotfix and updated on FTP"
User logout while running BAM report,,"revert the MyHttpServletRequestWraper.class changes and go to the jws then delete the NGLogs folder and then delete all the folders present inside nglogconfig except log4jConfig.xml and MaskingFieldsInfo.xml and then restart the server.As of now closing the ticket, will provide the support offine.",
Unable to see form in whole screen.,,As discussed over teams the iBPS is tested with Screen resolution 1366 X 768 so suggesting to use the same.,As discussed over teams the iBPS is tested with Screen resolution 1366 X 768 so suggesting to use the same.
On login from personal desktop not open properly.,,"Custom code issue.

Kindly use below code to get the height of window while using the url to open the workitem.

window.screen.availHeight",
Template Genaration HTML to PDF,"We have Linux Environment, need to generate templates from HTML to PDF, kindly let us know how to generate Template in this format. Provide any relevant document to refer if any.",Shared the relevant Document related to AddIns that does not have any other Pre-requisites.,Shared the relevant Document related to AddIns that does not have any other Pre-requisites.
Issue with Default Username and Password,"Recently bank have shared one VAPT report where the default username and password used in the AXIS2 is showing the high risk. We need to change the default password for the same. For this we need the following information:
1. Will there be any impact in the running process if the password is changed?","You can configure default username and password in the following file.
path : C:\iBPS5SP3_Dec6\jboss-eap-7.4.7\standalone\deployments\axis2.war\WEB-INF\conf\axis2.xml","You can configure default username and password in the following file.
path : C:\iBPS5SP3_Dec6\jboss-eap-7.4.7\standalone\deployments\axis2.war\WEB-INF\conf\axis2.xml"
Enable to register new view.,,Why we are registering/modifying view on production? Please perform this activity on Development/UAT. If the issue persist on UAT also please register the ticket as Development/UAT,
Initiation agent slowness,"Sometimes IA is taking too much team in creating new WorkItem.
L1 analysis :  ""Invalid Authenticatio Token"" error and ?""Unexpected exception returned from the service.Error code: Unable to parse error response message"" is coming.

What is the cause of these two errors. Right now we have only 1 IA configured in Production environment but going forward we will be having 5 or more IA.
What is the impact of these errors.","As discussed, this issue was raised earlier also and we confirmed over it that issue is not from product end and provided the scenario to confirm it. As seen the logs this time also, the issue is coming from mail server end only, it seems there might be some restrictions and rate limit has been set at client end. Kindly connect with mail server team at client end with negative and positive testcases discussed over call to verify the issue.","As discussed, this issue was raised earlier also and we confirmed over it that issue is not from product end and provided the scenario to confirm it. As seen the logs this time also, the issue is coming from mail server end only, it seems there might be some restrictions and rate limit has been set at client end. Kindly connect with mail server team at client end with negative and positive testcases discussed over call to verify the issue."
